sam cop.cond,v1s
san cop.cond,v2s
sa cop.cond,v3s
sak cop.cond,v1p
sanız cop.cond,v2p
salar cop.cond,v3p
larsa cop.cond,v3p
mışım cop.evid,v1s
mışsın cop.evid,v2s
mış cop.evid,v3s
mışız cop.evid,v1s
mışsınız cop.evid,v2p
mışlar cop.evid,v3p
larmış  cop.evid,v3p
ımdır cop.gen.1p.sg
sındır cop.gen.2p.sg
dır cop.gen.3p.sg
ızdır cop.gen.1p.pl
sınızdır cop.gen.2p.pl
lardır cop.gen.3p.pl
dırlar cop.gen.3p.pl
ım cop.pres,v1s
sın cop.pres,v2s
ız cop.pres,v1p
sınız cop.pres,v2p
lar cop.pres,v3p
dım cop.past,v1s
dın cop.past,v2s
dı cop.past,v3s
dık cop.past,v1p
dınız cop.past,v2p
dılar cop.past,v3p
lardı cop.past,v3p
mışımcasına cop.evid.conv.1p.sg
mışsıncasına cop.evid.conv.2p.sg
mışçasına cop.evid.conv.3p.sg
mışızcasına cop.evid.conv.1p.pl
mışsınızcasına cop.evid.conv.2p.pl
mışlarcasına cop.evid.conv.3p.pl
larmışçasına cop.evid.conv.3p.pl
muşum cop.evid,v1s
muşsun cop.evid,v2s
muş cop.evid,v3s
muşuz cop.evid,v1s
muşsunuz cop.evid,v2p
muşlar cop.evid,v3p
umdur cop.gen.1p.sg
sundur cop.gen.2p.sg
dur cop.gen.3p.sg
uzdur cop.gen.1p.pl
sunuzdur cop.gen.2p.pl
durlar cop.gen.3p.pl
um cop.pres,v1s
sun cop.pres,v2s
uz cop.pres,v1p
sunuz cop.pres,v2p
dum cop.past,v1s
dun cop.past,v2s
du cop.past,v3s
duk cop.past,v1p
dunuz cop.past,v2p
dular cop.past,v3p
muşumcasına cop.evid.conv.1p.sg
muşsuncasına cop.evid.conv.2p.sg
muşçasına cop.evid.conv.3p.sg
muşuzcasına cop.evid.conv.1p.pl
muşsunuzcasına cop.evid.conv.2p.pl
muşlarcasına cop.evid.conv.3p.pl
müşüm cop.evid,v1s
müşsün cop.evid,v2s
müş cop.evid,v3s
müşüz cop.evid,v1s
müşsünüz cop.evid,v2p
müşler cop.evid,v3p
ümdür cop.gen.1p.sg
sündür cop.gen.2p.sg
dür cop.gen.3p.sg
üzdür cop.gen.1p.pl
sünüzdür cop.gen.2p.pl
dürler cop.gen.3p.pl
üm cop.pres,v1s
sün cop.pres,v2s
üz cop.pres,v1p
sünüz cop.pres,v2p
düm cop.past,v1s
dün cop.past,v2s
dü cop.past,v3s
dük cop.past,v1p
dünüz cop.past,v2p
düler cop.past,v3p
müşümcesine cop.evid.conv.1p.sg
müşsüncesine cop.evid.conv.2p.sg
müşçesine cop.evid.conv.3p.sg
müşüzcesine cop.evid.conv.1p.pl
müşsünüzcesine cop.evid.conv.2p.pl
müşlercesina cop.evid.conv.3p.pl
