ye case.dat
yeyken case.dat,converb
yeykenki case.dat,converb,<ki>
yeysem case.dat,cop.cond,v1s
yeysen case.dat,cop.cond,v2s
yeyse case.dat,cop.cond,v3s
yeysek case.dat,cop.cond,v1p
yeyseniz case.dat,cop.cond,v2p
yeyseler case.dat,cop.cond,v3p
yelerse case.dat,cop.cond,v3p
yeyim case.dat,cop.pres,v1s
yesin case.dat,cop.pres,v2s
yeyiz case.dat,cop.pres,v1p
yesiniz case.dat,cop.pres,v2p
yeler case.dat,cop.pres,v3p
yelerken case.dat,cop.pres,v3p,converb
yeydim case.dat,cop.past,v1s
yeydin case.dat,cop.past,v2s
yeydi case.dat,cop.past,v3s
yeydik case.dat,cop.past,v1p
yeydiniz case.dat,cop.past,v2p
yeydiler case.dat,cop.past,v3p
yelerdi case.dat,cop.past,v3p
yeymişim case.dat,cop.evid,v1s
yeymişsin case.dat,cop.evid,v2s
yeymiş case.dat,cop.evid,v3s
yeymişiz case.dat,cop.evid,v1p
yeymişsiniz case.dat,cop.evid,v2p
yeymişler case.dat,cop.evid,v3p
yelermiş case.dat,cop.evid,v3p
yeyimdir case.dat,cop.gen.1p.sg
yesindir case.dat,cop.gen.2p.sg
yedir case.dat,cop.gen.3p.sg
yeyizdir case.dat,cop.gen.1p.pl
yesinizdir case.dat,cop.gen.2p.pl
yedirler case.dat,cop.gen.3p.pl
yelerdir case.dat,cop.gen.3p.pl
den case.abl
denken case.abl,converb
densem case.abl,cop.cond,v1s
densen case.abl,cop.cond,v2s
dense case.abl,cop.cond,v3s
densek case.abl,cop.cond,v1p
denseniz case.abl,cop.cond,v2p
denseler case.abl,cop.cond,v3p
denlerse case.abl,cop.cond,v3p
denlerse case.abl,cop.pres,v3p,cop.cond,v3s
denim case.abl,cop.pres,v1s
densin case.abl,cop.pres,v2s
deniz case.abl,cop.pres,v1p
densiniz case.abl,cop.pres,v2p
denler case.abl,cop.pres,v3p
denlerken case.abl,cop.pres,v3p,converb
dendim case.abl,cop.past,v1s
dendin case.abl,cop.past,v2s
dendi case.abl,cop.past,v3s
dendik case.abl,cop.past,v1p
dendiniz case.abl,cop.past,v2p
dendiler case.abl,cop.past,v3p
denlerdi case.abl,cop.past,v3p
denimdir case.abl,cop.gen.1p.sg
densindir case.abl,cop.gen.2p.sg
dendir case.abl,cop.gen.3p.sg
denizdir case.abl,cop.gen.1p.pl
densinizdir case.abl,cop.gen.2p.pl
dendirler case.abl,cop.gen.3p.pl
denlerdir case.abl,cop.gen.3p.pl
denmişim case.abl,cop.evid,v1s
denmişsin case.abl,cop.evid,v2s
denmiş case.abl,cop.evid,v3s
denmişiz case.abl,cop.evid,v1p
denmişsiniz case.abl,cop.evid,v2p
denmişler case.abl,cop.evid,v3p
denlermiş case.abl,cop.evid,v3p
de case.loc
deyken case.loc,converb
deykenki case.loc,converb,<ki>
deyimdir case.loc,cop.gen.1p.sg
desindir case.loc,cop.gen.2p.sg
dedir case.loc,cop.gen.3p.sg
deyizdir case.loc,cop.gen.1p.pl
desinizdir case.loc,cop.gen.2p.pl
dedirler case.loc,cop.gen.3p.pl
delerdir case.loc,cop.gen.3p.pl
deydim case.loc,cop.past,v1s
deydin case.loc,cop.past,v2s
deydi case.loc,cop.past,v3s
deydik case.loc,cop.past,v1p
deydiniz case.loc,cop.past,v2p
deydiler case.loc,cop.past,v3p
deyim case.loc,cop.pres,v1s
desin case.loc,cop.pres,v2s
deyiz case.loc,cop.pres,v1p
desiniz case.loc,cop.pres,v2p
deler case.loc,cop.pres,v3p
delerdi case.loc,cop.past,v3p
delermiş case.loc,cop.evid,v3p
delerken case.loc,cop.pres,v3p,converb
deymiş case.loc,cop.evid,v3s
deymişim case.loc,cop.evid,v1s
deymişiz case.loc,cop.evid,v1p
deymişler case.loc,cop.evid,v3p
deymişsin case.loc,cop.evid,v2s
deymişsiniz case.loc,cop.evid,v2p
deyse case.loc,cop.cond,v3s
deysek case.loc,cop.cond,v1p
deysem case.loc,cop.cond,v1s
deysen case.loc,cop.cond,v2s
deyseniz case.loc,cop.cond,v2p
delerse case.loc,cop.pres,v3p,cop.cond,v3s
deyseler case.loc,cop.cond,v3p
delerse case.loc,cop.cond,v3p
yi case.acc
yiyken case.acc,converb
yiykenki case.acc,converb,<ki>
yiysem case.acc,cop.cond,v1s
yiysen case.acc,cop.cond,v2s
yiyse case.acc,cop.cond,v3s
yiysek case.acc,cop.cond,v1p
yiyseniz case.acc,cop.cond,v2p
yiyseler case.acc,cop.cond,v3p
yilerse case.acc,cop.cond,v3p
yilerken case.acc,cop.pres,v3p,converb
yiyim case.acc,cop.pres,v1s
yisin case.acc,cop.pres,v2s
yiyiz case.acc,cop.pres,v1p
yisiniz case.acc,cop.pres,v2p
yiler case.acc,cop.pres,v3p
yiydim case.acc,cop.past,v1s
